URL,Confidence,Source_Count,First_Source
https://27.122.133.42/owa/auth/logon.aspx?url=https%3a%2f%2f27.122.133.42%2fowa%2f&reason=0,unknown,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv
"https://218.147.25.29/owa/auth/logon.aspx?url=https%3a%2f%2f218.147.25.29%2fowa%2f&reason=0,P",unknown,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
"https://210.91.51.214/owa/auth/logon.aspx?url=https%3a%2f%2f210.91.51.214%2fowa%2f&reason=0,P",unknown,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
https://14.33.187.194/owa/auth/logon.aspx?url=https%3a%2f%2f14.33.187.194%2fowa%2f&reason=0,unknown,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv
http://ameen-alkhalij.com/site/info,unknown,1,Malwares and Logs/ameen-alkhalij.com.log
"https://mx1.becahatem.com/owa/auth/logon.aspx?url=https%3a%2f%2fmx1.becahatem.com%2fowa%2f&reason=0,LB",unknown,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/Result_1.csv
"https://211.111.172.91/owa/auth/logon.aspx?url=https%3a%2f%2f211.111.172.91%2fowa%2f&reason=0,P",unknown,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
"https://210.207.67.150/owa/auth/logon.aspx?url=https%3a%2f%2f210.207.67.150%2fowa%2f&reason=0,P",unknown,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
https://211.109.249.30/owa/auth/logon.aspx?url=https%3a%2f%2f211.109.249.30%2fowa%2f&reason=0,unknown,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv
http://ameen-alkhalij.com/stock/mzhishu,unknown,1,Malwares and Logs/ameen-alkhalij.com.log
http://ameen-alkhalij.com/static/wap/js/common.js,unknown,1,Malwares and Logs/ameen-alkhalij.com.log
https://203.238.187.73/owa/auth/logon.aspx?url=https%3a%2f%2f203.238.187.73%2fowa%2f&reason=0,unknown,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv
"https://210.94.190.37/owa/auth/logon.aspx?url=https%3a%2f%2f210.94.190.37%2fowa%2f&reason=0,P",unknown,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
"https://61.74.184.4/owa/auth/logon.aspx?url=https%3a%2f%2f61.74.184.4%2fowa%2f&reason=0,P",unknown,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
https://124.243.25.133/owa/auth/logon.aspx?url=https%3a%2f%2f124.243.25.133%2fowa%2f&reason=0,unknown,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv
"https://77.42.253.187/owa/auth/logon.aspx?url=https%3a%2f%2f77.42.253.187%2fowa%2f&reason=0,LB",unknown,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/Result_1.csv
http://ameen-alkhalij.com/jiaoyimao/,unknown,1,Malwares and Logs/ameen-alkhalij.com.log
